,nodes,edges,degrees_w,degrees_nw,alcc_nw,spl_nw,algebrcon_nw,deg_centr
1975,92,848,4675.54347826087,18.434782608695652,0.6964789344831024,1.380673674151935,0.9053010244158117,0.20258002866698516
1976,92,874,4954.478260869565,19.0,0.7364040028757354,1.2638557095078835,0.9324244199976366,0.20879120879120877
1977,97,884,4602.474226804124,18.22680412371134,0.7361847106064373,1.28125,0.9312462477510731,0.18986254295532642
1978,90,888,5210.177777777778,19.733333333333334,0.7142171889495607,1.3555555555555556,0.5903527232341095,0.22172284644194756
1979,89,820,4074.674157303371,18.426966292134832,0.713619810052949,1.2286772216547497,0.9417319740896797,0.20939734422880496
1980,97,910,5157.40206185567,18.762886597938145,0.7052865187483589,1.217676116838488,0.9206516814981826,0.19544673539518895
1981,99,956,5778.282828282829,19.31313131313131,0.7103312271613519,1.181199752628324,0.9173776979541702,0.19707276850133987
1982,90,877,5834.711111111111,19.488888888888887,0.7128910921638462,1.2098626716604244,0.9088438307401187,0.21897627965043698
1983,92,870,5797.54347826087,18.91304347826087,0.6718801009555607,1.233755375059723,0.9010832106614486,0.2078356426182513
1984,95,938,6851.031578947369,19.74736842105263,0.6963020112631448,1.2530795072788354,0.930132518244479,0.21007838745800664
1985,95,1033,7725.578947368421,21.74736842105263,0.7671226047139824,1.3281075027995521,0.9446217095681047,0.23135498320268755
1986,101,1027,7377.504950495049,20.336633663366335,0.7256653099028569,1.2013861386138613,0.9433038416257028,0.20336633663366335
1987,98,1131,9458.183673469388,23.081632653061224,0.7225046709777114,1.3651378077003997,0.9276540447708784,0.23795497580475483
1988,99,1119,9259.171717171717,22.606060606060606,0.7116027150281486,1.284786641929499,0.920952031157586,0.23067408781694493
1989,106,1232,11307.547169811322,23.245283018867923,0.7556374840860552,1.346271338724169,0.9297164701849558,0.22138364779874212
1990,102,1195,11247.980392156862,23.431372549019606,0.7490687283047572,1.2378178994370026,0.9336910990914339,0.2319937876140555
1991,101,1261,12461.30693069307,24.97029702970297,0.7141604459817642,1.3131683168316832,0.9241039686192984,0.24970297029702973
1992,105,1251,12857.485714285714,23.82857142857143,0.7171727309889286,1.2752747252747252,0.9176759485949959,0.22912087912087908
1993,109,1259,13147.266055045871,23.10091743119266,0.7196187148510782,1.2389568467550118,0.9512968100452188,0.21389738362215424
1994,116,1386,13771.413793103447,23.896551724137932,0.7292420060159739,1.2663418290854573,0.9310697394927162,0.20779610194902548
1995,117,1367,14580.837606837607,23.367521367521366,0.7158563753188623,1.268272914824639,0.9382507230927979,0.20144414972001184
1996,122,1490,16042.393442622952,24.42622950819672,0.7354209353928255,1.2244953258366076,0.9464081051352213,0.20186966535699774
1997,119,1490,17662.03361344538,25.04201680672269,0.6933016907713412,1.3212505341119498,0.9119690736245136,0.21222048141290414
1998,128,1650,22339.921875,25.78125,0.6892430333094235,1.2755905511811023,0.9161243672694797,0.20300196850393698
1999,137,1755,22329.591240875914,25.62043795620438,0.6662403184542505,1.3967367969085445,0.8812149683055731,0.18838557320738514
