,PER,JOR,BLR,BRN,GIN,NLD,JAM,CSK,MAC,ITA,MHL,ETH,TUR,CYP,BHR,GEO,ESP,SVN,SLV,VCT,ZWE,YEM,ARG,LIE,CHN,LCA,LBY,MAR,PRY,COD,CYM,BEL,BGR,VEN,KOR,AUS,ARM,FRA,MDG,BOL,DNK,YUG,MWI,SDN,FIN,GUF,TTO,KGZ,LBN,ABW,PHL,URY,KAZ,SWE,BRA,CZE,UKR,ISL,COK,BHS,HRV,LBR,FRO,OMN,VNM,KWT,ZMB,HUN,ATG,GLP,AZE,ECU,JPN,HND,POL,MUS,THA,SVK,BMU,DEU,IRN,CHL,CMR,ISR,TZA,LUX,SYR,CHE,RUS,PYF,PNG,ROU,TUN,CAN,IRQ,SGP,EST,USSR,VUT,SWZ,TCD,MLI,NIC,CRI,SAU,COL,TWN,UGA,GHA,CCK,LKA,DOM,EGY,BRB,SUR,NGA,TCA,CIV,GRL,IDN,GUY,DZA,IND,HTI,NZL,MEX,KEN,ZAF,CUB,LVA,MRT,NCL,AUT,MYS,UZB,HKG,KNA,VGB,GTM,USA,GRC,IRL,GBR,MMR,PAK,NOR,PRT,MCO,MTQ,SMR,AND,PAN,ANT,LTU,MLT,SEN,AIA,ARE,NFK,BLZ
1975,0.0,,,,,0.007337044145652204,0.0,0.0011305256268626233,,0.005803138490867428,,,1.7442874585731727e-05,,,,0.00021796020422394047,,0.0,,0.0,,7.994650851793708e-05,3.0525030525030525e-05,0.0,,0.0,0.0,,,,0.0009417232814668711,0.0,0.0,0.0,0.0036260822341408422,,0.04481236966127076,,0.0,0.011141306292405192,0.0,0.0,0.0,0.0007487975665631343,,0.0,,0.0,,0.010500610500610501,0.0,,0.017288376899182768,2.22000222000222e-05,,,0.0,,0.0,,,,,0.0,0.0,0.0,2.7506071462115418e-05,,,,0.0,0.05424024337485877,0.0,0.00010756439327867897,,0.0,,0.0,0.07276283189744726,0.0,0.0,0.0,0.00014410633458252506,0.0,0.0,0.0,0.017781798821176108,,,,8.721437292865864e-06,0.0,0.03439664781697748,,0.0,,0.009878137904694679,,,,0.0,0.0,0.0,,1.628001628001628e-05,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,5.523576952148381e-05,0.0,7.631257631257631e-05,0.00018687051654084618,0.0,0.0018899354613640326,0.0,,,,0.0040568983655064235,0.0,,0.0,,,0.0,0.3527445168791321,0.0,0.0,0.03527983870016839,0.0,0.0,0.0011710928469170227,0.0,0.0,,,,0.0,,,,,,,,
1976,0.0,0.0,,,,0.004080010682574783,0.0,0.00123007199014525,,0.005824247486335399,,,0.0,,,,0.000902748553847455,,0.0,,0.0,,2.22000222000222e-05,2.8385669411310438e-05,0.0,0.0,,0.0,,,0.0,0.0026679164682827687,2.0350020350020348e-05,0.0,0.0,0.003425937446083966,,0.02376511749680248,,0.0,0.000730244352039224,0.0,0.0,0.0,0.0002843872990393137,,0.0,,0.0,,1.11000111000111e-05,0.0,,0.013644553282831672,0.0,,,0.0,,1.11000111000111e-05,,0.0,,,,0.0,0.0,0.000985969159046082,,,,,0.03746358833813047,0.0,0.00021948950520379087,,,,0.0,0.05385204115515472,0.0,0.0,0.0,0.0006532485287064042,0.0,0.0,0.0,0.020603398263654676,,,,0.0,0.0,0.025348199317979533,,0.0,,0.0028779170903713027,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,4.1096469667898236e-05,0.0009266042599375932,0.0,0.0004752985110127966,0.0,,,,0.0013512682880814748,0.0,,0.0,,,0.0,0.3387787810818946,0.0,1.7806267806267805e-05,0.06091105136892684,,0.0,0.002753075509485766,0.0,0.0,0.0,,,0.0,,,,,,,,0.0
1977,2.7412280701754386e-05,,,,0.0,0.014886934814292268,0.0,0.0006005026893184789,,0.00809156537500836,,,0.0,,,,0.0030436959178735496,,0.0,,0.0,,0.0005926274018379283,0.0,0.0,,0.0,0.0,,,0.0,0.0028460186560515513,0.00013157894736842105,0.0,0.0,0.0022123251687396423,,0.03217663139126955,,0.0,0.00038967230990257315,0.0,,0.0,0.0007661849602639077,,0.0,,0.0,,0.0,0.0,,0.010471246031827171,7.279483430799221e-05,,,0.0,,0.0,,,,,,,,0.0004193576890945312,,,,0.0,0.03602352483246125,0.0,6.27053258632206e-05,,0.0,,0.0,0.06617990384574816,1.51894888736994e-05,0.0,0.0,0.00039445569050832206,0.0,1.3706140350877193e-05,,0.018666878067919737,,,0.0,0.0001431134654818865,0.0,0.019878299139538178,0.0,0.0,,0.0033116616874840563,,,,0.0,0.0,0.0,0.0,2.1016081871345027e-05,8.876357560568087e-05,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,2.357656962920121e-05,0.0,0.0,0.0006633024930722298,0.0,0.00025615253411306047,0.0,,,,0.0008174313807537494,0.0,,0.0,,,0.0,0.35437121545811234,0.00025584795321637423,0.0,0.03997751887691581,0.0,0.0,0.002501925766728398,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0
1978,0.0,0.0,,,,0.011888912465074368,0.0,0.0017992208109674913,,0.007741191073992401,,,0.0,,,,0.0004657327691035556,,0.0,,0.0,,0.0,2.2247500541678278e-05,0.0,,,0.0,,,,0.0014770528033423841,3.192032686414709e-05,1.1607391586962579e-05,0.0,0.005531187828174549,,0.020344534948084494,0.0,0.0,0.0018667980810473147,0.0,,,0.0009196731936772797,,0.0,,0.0,,0.0,0.0,,0.00932218760838526,0.0002207822608103507,,,0.0,,9.821639035122181e-06,,,,,,,0.0,0.0013916171219542006,0.0,,,0.0,0.04313538755252239,0.0,0.0002872829417773238,,0.0,,0.0,0.0720072936157589,0.0,0.0,0.0,0.001902181138008513,,0.0,0.0,0.025719421418157376,,,0.0,1.5960163432073545e-05,0.0,0.020078672533345665,,1.1607391586962579e-05,,0.0019860291294790783,,0.0,,,0.0,0.0,0.0,0.0,0.00022557030983997277,,,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,,1.2768130745658837e-05,0.0,0.0004111057481843999,0.0008332647377591195,0.0,0.0007876040370933119,0.0,,,,0.0033924536478162634,0.0,,2.6921814140915266e-05,,,0.0,0.3478552385504633,0.0,3.322987873549672e-05,0.07019437530322363,0.0,0.0,0.0006183065459112445,0.0,0.0,,,,0.0,,,,,,,,0.0
1979,5.358626048281221e-05,,,,,0.005711073692068991,0.0,0.0005392179079483155,,0.011649862531523975,,,0.0,,,,0.00041822746074313474,,,,,,0.0006748519679554163,0.0,0.0,,,0.0,0.0,,0.0,0.0024459824469620704,3.265412748171369e-05,0.0,0.0,0.0037460882827262134,,0.02199252314358114,,0.0,0.0011838654422902072,0.0,,0.0,0.0014892522141738448,,0.0,,0.0,,4.5715778474399166e-05,0.0,,0.005465740394227854,0.00011404913442531,,,0.0,,0.0,,,,,,0.0,,0.0026885905804401103,0.0,,,0.0,0.0477909801724457,0.0,0.00013388192267502612,,0.0,,0.0,0.05699797397975298,0.0,0.0,,0.00030828664253429146,0.0,2.176941832114246e-05,,0.012262942596994326,,0.0,,2.6123301985370955e-05,0.0,0.01631505123374246,,0.0,,0.003201147475246221,,,,0.0,0.0,0.0,0.0,0.0,0.0007161149108641272,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.00014576557484080995,0.003034172665834108,0.0,0.0003902923965619891,0.0,,,,0.002388474900230386,0.0,,5.7227183010882076e-05,,,0.0,0.3511777079518067,8.163531870428423e-06,5.428218594362796e-05,0.03136635928074017,0.0,,0.0003833492714762308,0.0,0.0,,,,0.0,0.0,,,0.0,,,,
1980,0.0,0.0,,,,0.0038726780955399376,0.0,0.0005388443793049055,,0.020359593044625944,,0.0,0.0,0.0,,,0.0009524597600255496,,0.0,,0.0,0.0,0.0002176962292093871,2.192982456140351e-05,0.0,,0.0,0.0,,,0.0,0.0009634404946904946,3.7885177687809264e-05,0.0,0.0,0.00936340143165801,,0.021362633315758318,,0.00011878654970760234,0.0012210803329224381,0.0,,,0.0008255258995390573,,,,0.0,,0.0,0.0,,0.010849952465906417,0.00015807748538011697,,,0.0,,0.0,,,,,0.0,,,0.0013669365478576007,0.0,,,,0.051104768008550884,0.0,2.375730994152047e-05,,0.0,,0.0,0.0512608874738809,0.0,0.0,0.0,0.00018473348654269702,0.0,0.0,,0.019235024995715787,,,0.0,0.0,0.0,0.012714464963642596,0.0,0.0,,0.011517825345950347,,,,0.0,0.0,0.0,0.0,0.0,0.00017361111111111112,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0006065444058865111,0.0,0.0009134884669424143,0.0,,,0.0,0.0008867355536763431,0.0,,3.654970760233918e-05,,,0.0,0.31838808045633693,4.385964912280702e-05,0.0,0.04829670618733118,0.0,0.0,0.0010881821942677209,0.0,0.0,,,,0.0,0.0,,,,,,,0.0
1981,0.0,0.0,,,,0.006041293035884687,0.0,2.1241644952985158e-05,,0.010255295787188956,,,0.0,,,,0.0005973815265315371,,0.0,,0.0,0.0,3.0682376043200785e-05,0.0,6.188042227200158e-06,,,0.0,,0.0,0.0,0.0024362651089114866,2.3698161716255552e-05,1.4527165800046086e-05,0.0,0.008564560831936855,,0.024123898781081243,0.0,0.0,0.002237202654044648,0.0,0.0,,0.0007463031609545884,,0.0,,0.0,,5.6104916193281435e-05,0.0,,0.011032328383598789,0.00029905354831717126,,,0.0,,5.961147345536152e-05,,0.0,,,0.0,0.0,,0.0005951451183409945,0.0,,,0.0,0.05503164936324798,0.0,0.00019782262266884984,,0.0,,0.0,0.05267586905406983,0.0,0.0,0.0,0.0015597375562753464,0.0,1.3702093503086062e-05,,0.010273599537346273,,0.0,,6.574794866400168e-06,0.0,0.023446351902450834,,4.2078687144961075e-05,,0.0019079227105736674,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0003046947792371735,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.00013501383951625902,0.00017664695190344623,0.0,0.002931668305704518,0.0,,0.0,,0.0019147024770408147,0.0,,0.0008551923469436866,,,0.0,0.29247905100431676,3.8196427319086696e-05,9.065028526421331e-05,0.05352140854625352,0.0,,0.00142542053262527,0.0,0.0,,,,0.0,,,,,,,,
1982,0.0,0.0,,,,0.018607288660670712,0.0,0.0003237232776303257,,0.007567091767562685,,,0.0,0.0,,,0.0010357425034391327,,,,0.0,,0.001141025017429512,9.12009338975631e-06,0.0,0.0,,0.0,0.0,,0.0,0.00295165037408398,0.00011198369216755326,0.0,0.00019152196118488255,0.003758078031327294,,0.04022361389995306,,0.0,0.0024707652819884692,0.0,,,0.0010697448431217884,,0.0,,0.0,,0.0,0.0,,0.005605024496506649,2.888029573422832e-05,,,0.0,,0.0,,,,,0.0,,,0.0004704710888429268,0.0,,,,0.09233848064709764,0.0,0.0001165529510779766,,0.0,,0.0,0.06367228601435551,0.0,0.0,,0.000850419883947493,,0.0,0.0,0.006372542360551584,,,,9.12009338975631e-06,0.0,0.016108100327723446,,0.0,,0.0022233617190956624,,,,0.0,0.0,0.0,0.0,0.0,0.00034975239265331193,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,5.472056033853786e-05,0.0,0.0005237098476373246,0.00027739965176124524,0.0,0.0004881741325929573,0.0,,0.0,,0.0008164559875489397,0.0,,0.0,,,0.0,0.28344373647400817,6.196596786484427e-05,1.0640108954715695e-05,0.024168449495069542,,0.0,0.0006893662627304399,0.0,0.0,,,,0.0,0.0,,,,,,,0.0
1983,0.0,,,,,0.0023872276282855894,0.0,0.0003406624738234305,,0.008841465291314464,,,0.0,0.0,,,0.00020659370476220292,,0.0,,0.0,,2.9742337434645124e-05,1.4813617754794225e-05,0.0,,0.0,0.0,0.0,,0.0,0.0023780005596963152,2.71333604666938e-05,0.0,0.0,0.011492487786659303,,0.031523265921833035,,0.0,0.0023982078835558685,0.0,0.0,,0.001188293798183908,,0.0,,0.0,,0.0,0.0,,0.007825631477861602,2.8288764552500815e-05,,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0004506070652914006,,,,,0.04859060775107962,0.0,4.856254856254856e-05,,0.0,,0.0,0.03999970130303033,0.0,0.0,,0.0007533854495716163,0.0,7.182360123536594e-06,,0.012518568611274927,,0.0,,0.0,0.0,0.018610997414326442,,0.0,,0.009137880263176535,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0008740932270344035,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,0.00017355660212803068,0.0,0.007932527383076832,3.2345942979427144e-05,0.0,0.0001602508195914789,,,,,0.0028816078759517677,0.0,,7.326007326007327e-05,,,0.0,0.3517916659521378,0.0,4.0700040700040695e-05,0.03163647282075423,0.0,,0.0002318065173592,0.0,0.0,,,,0.0,,,,0.0,,,,0.0
1984,0.0,,,,,0.0036713021769416536,0.0,0.0002480081565833918,,0.012849679882258281,,,0.0,0.0,0.0,,0.00031516648337653376,,0.0,,0.0,,4.644769522237325e-05,7.149393731411577e-06,0.0,,,0.0,0.0,,0.0,0.002316112258479734,1.6341471386083604e-05,0.0,0.00011439029970258523,0.008709089131534632,,0.034051960191210554,,0.0,0.0016192329947081745,7.149393731411577e-06,,,0.001517032807286329,,0.0,,0.0,,0.0,0.0,,0.01152638876401177,2.5719247579233853e-05,,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0006694023289868904,,,,0.0,0.046172193180749624,0.0,2.1340671514063128e-05,,0.0,,0.0,0.03969198270259816,0.0,0.0,0.0,0.0008478393543898813,0.0,1.0399118154780476e-05,,0.010566359973951913,,,,1.274938324858535e-05,0.0,0.014981395938133562,0.0,0.0,,0.0027650426018850267,,,,0.0,0.0,0.0,0.0,0.0,0.0008602778420897844,,,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,1.274938324858535e-05,1.274938324858535e-05,0.0,0.0003566153027836881,0.0,,,,0.006221648671331106,0.0,,2.474790137796315e-05,,0.0,0.0,0.3655594424753427,0.00026691069930603217,1.3169935821021324e-05,0.028609630539528592,0.0,0.0,0.00011174071800842107,0.0,0.0,,,,0.0,,,,0.0,,0.0,,
