,PER,JOR,BLR,BRN,GIN,NLD,JAM,CSK,MAC,ITA,MHL,ETH,TUR,CYP,BHR,GEO,ESP,SVN,SLV,VCT,ZWE,YEM,ARG,LIE,CHN,LCA,LBY,MAR,PRY,COD,CYM,BEL,BGR,VEN,KOR,AUS,ARM,FRA,MDG,BOL,DNK,YUG,MWI,SDN,FIN,GUF,TTO,KGZ,LBN,ABW,PHL,URY,KAZ,SWE,BRA,CZE,UKR,ISL,COK,BHS,HRV,LBR,FRO,OMN,VNM,KWT,ZMB,HUN,ATG,GLP,AZE,ECU,JPN,HND,POL,MUS,THA,SVK,BMU,DEU,IRN,CHL,CMR,ISR,TZA,LUX,SYR,CHE,RUS,PYF,PNG,ROU,TUN,CAN,IRQ,SGP,EST,USSR,VUT,SWZ,TCD,MLI,NIC,CRI,SAU,COL,TWN,UGA,GHA,CCK,LKA,DOM,EGY,BRB,SUR,NGA,TCA,CIV,GRL,IDN,GUY,DZA,IND,HTI,NZL,MEX,KEN,ZAF,CUB,LVA,MRT,NCL,AUT,MYS,UZB,HKG,KNA,VGB,GTM,USA,GRC,IRL,GBR,MMR,PAK,NOR,PRT,MCO,MTQ,SMR,AND,PAN,ANT,LTU,MLT,SEN,AIA,ARE,NFK,BLZ
1975,0.0058268420631058,,,,,0.0479735172914967,0.0,0.009923940187514847,,0.01799152028962388,,,0.0009331937903366475,,,,0.006606927001258595,,0.0,,0.0,,0.014660671982469812,0.004610799253656396,0.001688470259898831,,0.0,0.0,,,,0.0034782440460096133,0.001392623249766107,0.0,0.026580126031049693,0.042316006546367475,,0.061995468689017064,,0.0,0.027716497567688052,0.014211872783301356,0.0,0.0,0.005378960105150581,,0.00433562028800124,,0.004306960676008295,,0.015717610518812944,0.0,,0.08951808519104894,0.010943251254102455,,,0.0011907396293843182,,0.0017719414636308483,,,,,0.003070672713529857,0.0,0.0,0.004166779428684191,,,,0.0115058530534721,0.0683072042894818,0.0,0.009527498515593756,,0.0,,0.0,0.08388808107798994,0.004242104049796358,0.001896885335530024,0.0,0.005701298788215499,0.0,0.024072953123636897,0.0,0.02376723042274361,,,,0.019228468021818493,0.0,0.09161863950848002,,0.016485260770975053,,0.01916576187584591,,,,0.0,0.0,0.0,,0.007037988466559891,0.03732901578139673,0.0,,,0.0,0.03399834292691435,0.0021897150468579043,0.02259898831327403,,0.00693935693935694,,,,0.0,,0.0,0.02339529471118971,0.0,0.00992270641247155,0.019984749270065397,0.004702992722600565,0.024202956492294182,0.0,,,,0.03899712862748327,0.0,,0.010171123476984279,,,0.0,0.21355034405629642,0.006720377099497979,0.030395701422547293,0.08405453907102262,0.0,0.0,0.03158911938961607,0.06063464366717171,0.004117233736281355,,,,0.0,,,,,,,,
1976,0.011400875356301129,0.0,,,,0.022053699773183128,0.0,0.016109701856101718,,0.028792778103597365,,,0.0,,,,0.02659104862725329,,0.0,,0.02864332355015585,,0.00996724758322709,0.014007726571338523,0.014815176337137349,0.0,,0.0,,,0.0,0.022408108701661194,0.0032463526339939785,0.0,0.0,0.02173895848211257,,0.057112962991927314,,0.0009597962551206867,0.012638142149866364,0.006499310174773671,0.0,0.0,0.006440263674930117,,0.0022925930897783604,,0.0,,0.0181631250894538,0.0038571613571613565,,0.059754014860748716,0.009413052798439342,,,0.0,,0.007357554113707316,,0.0,,,,0.0,0.0,0.007401617657668795,,,,,0.05912243502347403,0.0,0.026698799126039938,,,,0.0,0.07690181390483608,0.004857135960710113,0.0,0.0,0.010039513072444196,0.0,0.038244531918182195,0.0,0.036071613291499195,,,,0.0014913678026832985,0.0,0.046977627218482615,,0.0,,0.019735187200600315,,,,0.0,0.0,0.01519470091754876,0.0,0.004711380949619835,0.04413459326502805,,,,,0.0,0.015958678614299563,,,0.015958678614299563,,,,0.0,0.0,0.0,0.016815388295353874,0.0,0.018576703119878933,0.010091031492640725,0.02156008837720186,0.019899394944967803,0.0,,,,0.009181513115080975,0.004840644909213644,,0.010077672167559405,,,0.003876302657815263,0.1923460013281569,0.014693145055460613,0.012601299221100986,0.13232694945882664,,0.0,0.009157260198317616,0.0,0.0,0.0,,,0.008273497853446889,,,,,,,,0.0
1977,0.005212634283357967,,,,0.0,0.0460866466552393,0.0007392613478139794,0.0021788446094397704,,0.05785415004694579,,,0.0,,,,0.009136525521134248,,0.0,,0.0,,0.03134054298527982,0.020319119701783267,0.003905197603258545,,0.0,0.006456244778613199,,,0.0,0.020719724466694685,0.013902196919079655,0.0,0.0,0.02854380782261874,,0.06488432167176363,,0.061850972240897084,0.004083398434211128,0.009742397988156296,,0.0,0.017085249020309935,,0.0,,0.0,,0.009818819895862831,0.0,,0.021029744267457125,0.0380051609489853,,,0.0,,0.0012352930938457254,,,,,,,,0.0070832979920278285,,,,0.0,0.07330519458325183,0.0,0.011486453057176741,,0.0,,0.0,0.11345762342187712,0.004331349310255432,0.004274227234753551,0.0,0.0069042347092493775,0.0,0.008083070205086256,,0.05084285113474101,,,0.0,0.012915542737600545,0.002888583796091535,0.03610210117611433,0.0,0.01183406368803346,,0.029541107588428137,,,,0.0,0.0,0.0,0.00048245614035087716,0.01799740778099504,0.00812587023113339,0.0,0.0,,0.012293233082706767,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.01847298352232563,0.0,0.009842499346786864,0.026569995291670683,0.0,0.028363259757072382,0.0163156429084407,,,,0.016555306293090426,0.02409540905762595,,0.011967332776156307,,,0.0,0.17512293358380615,0.005854554801923223,0.005347192357895878,0.10719026392682338,0.0,0.0,0.01979073588448589,0.012847506264447054,0.004728085024137655,0.0,,,0.020845899821147297,,,,0.0,,,,0.0
1978,0.0,0.0,,,,0.05677250409751131,0.014458054996870116,0.010168447313878608,,0.026376771567081687,,,0.044134628078443726,,,,0.008463759408601085,,0.01712206236570637,,0.0,,0.0110988363507212,0.01819930538294719,0.0,,,0.0,,,,0.017081401706360543,0.006391767306078124,0.009830655652840003,0.008443415456025538,0.043164904647111556,,0.04305272449788409,0.0,0.0,0.018798151815665038,0.007051321009728911,,,0.01463193807490092,,0.004231115326620944,,0.004154638583903141,,0.0037768390644134526,0.0,,0.057513209163918666,0.006078894248417631,,,0.01978570726873609,,0.03160187834778384,,,,,,,0.0,0.006774753054428007,0.0,,,0.0,0.047423603428718965,0.016588565378221693,0.015828291321065086,,0.0,,0.0,0.10784109172895896,0.0200819879608535,0.001426233608584721,0.0,0.016579494527050986,,0.010885381048259625,0.0,0.06285667489250375,,,0.0,0.01925701445951179,0.0,0.04441088585547498,,0.0027197638503818266,,0.010502049893884396,,0.0,,,0.0,0.0,0.0,6.384065372829418e-05,0.015139071089356023,,,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,,0.0009068421065759918,0.0,0.03270959640021644,0.019588271862656388,0.0,0.004346611175965109,0.05240867523826103,,,,0.012823130973196834,0.010382068773922705,,0.02432103555150866,,,0.0,0.18028583040643284,0.00852526144117234,0.014258819032434528,0.13469391460820393,0.0,0.0,0.004723813128712759,0.003893230747801739,0.01388046371223061,,,,0.0,,,,,,,,0.0
1979,0.016833523132504326,,,,,0.024713071382350373,0.0,0.01720182692833902,,0.03891762532275165,,,0.008961743875536981,,,,0.02327488224045712,,,,,,0.014351304045085158,0.0018987173571813067,0.030965916574666345,,,0.0,0.0,,0.0,0.024494148818208383,0.019886038593972397,0.011898213318667871,0.004646248474618381,0.014192001142259303,,0.053812835956310485,,0.0,0.00906591755262924,0.010949347459351153,,0.0,0.021824541417017892,,0.0,,0.0,,0.0085273018952486,0.0,,0.01758048251945772,0.013551608614304546,,,0.0019592476489028216,,0.002420738529096449,,,,,,0.0,,0.029959193031120487,0.0,,,0.0,0.10876980676993357,0.0,0.010041245327295492,,0.0057914003446918804,,0.015052412466205568,0.09517547096550875,0.0011585995422202322,0.0,,0.004461742899876774,0.0,0.0114440429389489,,0.03444101612032184,,0.0,,0.022538136433812264,0.0,0.07078488402190691,,0.0,,0.010381169990703463,,,,0.0,0.0,0.007990582773336785,0.0,0.006657215346478669,0.027930576314773258,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.010909343472039399,0.0,,0.0054102792286800224,0.0009895596102492655,0.008584244759447596,0.03333261478603081,0.0,0.0077970848139573955,0.027195115507627033,,,,0.004956220433700612,0.0,,0.017017755315572484,,,0.0,0.18479009657439496,0.013381091631713984,0.03917679295353095,0.051039111358007726,0.0,,0.017597994415484736,0.0,0.039838459607268395,,,,0.0,0.0,,,0.0,,,,
1980,0.0,0.0,,,,0.012802808563563004,0.0,0.005521086187204609,,0.06045093082689272,,0.0,0.0,0.0,,,0.022147510967716152,,0.0,,0.0,0.0,0.022830715202944576,0.005625530997492264,0.006188387635756057,,0.0,0.0,,,0.0,0.008991759838315566,0.012042978003767683,0.002752853711421689,0.007677898059809101,0.02759608584032927,,0.0662511702879899,,0.0018568783825505793,0.021312429282082244,0.007222489614237649,,,0.018701301611822967,,,,0.0,,0.0,0.0,,0.027228263570062763,0.03022012475857695,,,0.0,,0.0025329501556534133,,,,,0.0,,,0.03077849908078777,0.0,,,,0.09506185078236247,0.0,0.021447732260998623,,0.0,,0.0,0.05177656966964173,0.006552049359054815,0.010181239787986096,0.0,0.007203569125263361,0.0,0.03391864743954274,,0.05550973365139753,,,0.0,0.00039272739930634666,0.0034320701689291,0.04148617968764279,0.0,0.0,,0.02652985745242498,,,,0.0,0.0,0.0009318808711957531,0.0,0.028790465747702592,0.013351159771752706,,,,0.0,0.0,0.002631578947368421,0.0,,0.007226893670302573,,,,0.0,0.0,0.0,0.010158449962749316,0.04703918829958883,0.005059441650418581,0.007739197951270264,0.021077035424245046,0.009264582010210472,0.016270615597788387,,,0.0,0.006752223213912189,0.0,,0.007850039729152129,,,0.0,0.2016408155040121,0.01355014403957038,0.0026703095844930217,0.08472912441884102,0.0,0.0,0.018810494870545497,0.030810979955716807,0.011853114104250868,,,,0.025270337301587294,0.0,,,,,,,0.0
1981,0.0,0.0,,,,0.022572194893962078,0.0,0.009542490950930075,,0.011768724384777865,,,0.0011537199563183152,,,,0.017939150498944543,,0.0,,0.0,0.0,0.0009565230801068786,0.011728024806292255,0.006387502188672901,,,0.0,,0.0,0.0,0.030572939784892603,0.014155172523196072,0.01959558392212031,0.019193660094137272,0.036117789896185803,,0.04255061719799873,0.0,0.0,0.018305320802737963,0.00015779507679360404,0.0,,0.003192367489502749,,0.013733422606994448,,0.0010044332695978459,,0.006161964439766337,0.0,,0.03880153837763782,0.009856936970979642,,,0.0,,0.012019027553163893,,0.0,,,0.0,0.0,,0.006977567050807346,0.0,,,0.0,0.06546275459037498,0.0,0.018201922729807217,,0.0011537199563183152,,0.00850520182886926,0.06092286331877223,0.002006520753516969,0.0,0.0,0.019545592376676177,0.0,0.0017750031474327486,,0.020153824315451454,,0.0,,0.002525937026654025,0.0,0.06406867062728666,,0.017040052681009072,,0.022812159887103223,0.0,,,0.0,0.0,0.011729283849745151,0.0,0.013857253185410758,0.028353633493153483,0.0,0.0,,,0.0,0.0013572795814986965,0.0,,0.009784418386594839,,,,0.004211801907770585,0.0,0.0,0.0385744185754287,0.07939178288174506,0.007134114732137285,0.019985155589440716,0.0,0.016298149977799267,0.0,,0.0,,0.008173801681788951,0.0,,0.009340805344271303,,,0.0,0.14250355357741076,0.031782386233891874,0.0037730763806545363,0.18333868176556511,0.0,,0.013077009653838217,0.01696226488988955,0.017830614712184105,,,,0.0,,,,,,,,
1982,0.0,0.0,,,,0.04747468172947818,0.0,0.0035974613713377753,,0.01854726609512781,,,0.0,0.0,,,0.0076766405481931525,,,,0.0,,0.021138825228948235,0.017129848183538167,0.0,0.0,,0.0,0.021079258033420447,,0.0,0.027985451978581658,0.016095969713480374,0.023750813438632647,0.03928075353954546,0.023806005233933936,,0.1282746933661296,,0.0,0.019602573802068333,0.019279361333453142,,,0.028064772676085464,,0.0,,0.0,,0.019600025459395768,0.0,,0.006164724969646711,0.019735365478883334,,,0.0,,0.010746424677619259,,,,,0.0,,,0.011001873155218405,0.0,,,,0.1220394632029867,0.0,0.015950885030302803,,0.0,,0.00014115796719671453,0.11681552177218525,0.0,0.018705362209575693,,0.009797229335886727,,0.0,0.0,0.028853042336448864,,,,0.0037863807687880074,0.019506479630409388,0.026683835038212988,,0.0,,0.014581275466106923,,,,0.0,0.0,0.0,0.0,0.011213702678582805,0.014813367480859834,,,,,,0.0,0.0,,0.0,,0.010900690026227925,,0.04369474052505208,,0.0,0.002002113834979004,0.015897239257388215,0.03087870287408456,0.012926110005851511,0.0,0.008054345125862453,0.0,,0.0,,0.006178587826315101,0.00014115796719671453,,0.01172614076565813,,,0.0,0.14441336053256226,0.050260627456277095,0.007486956955483515,0.051293109828089385,,0.0,0.004901870016895851,0.0025514564014233547,0.022684669415051574,,,,0.0,0.0,,,,,,,0.0
1983,0.023481136044161258,,,,,0.011095660406692515,0.0,0.0094218466330533,,0.04364848425440612,,,0.0,0.0,,,0.005686553305600924,,0.0,,0.005325745682888541,,0.007228862691668215,0.005528072966359322,0.0,,0.0,0.007351590208733066,0.0,,0.0,0.0214323539369327,0.003238105956359924,0.004683517540660397,0.0004940297797440655,0.04210693075457433,,0.08221247318925852,,0.0,0.0412054857443626,0.0008573155917478262,0.0,,0.016605412518110936,,0.0,,0.0,,0.0022137854005985875,0.0838429559858131,,0.016886118135157873,0.03422878437039396,,,0.0,,0.003017485027757364,,0.013000755857898715,,,0.0,,0.0,0.025524874248982643,,,,,0.1463559764750241,0.0,0.016337542866846896,,0.0,,0.01403583900836648,0.04472241162717354,0.0,0.0,,0.021727003766794036,0.0,0.029293443720759742,,0.02456429493895651,,0.0,,0.003636125778982923,0.0,0.03552712759934778,,0.02366152467800818,,0.02563091658940255,0.0,,,0.0,0.0,0.0,0.02362837813387263,0.0003854919331109807,0.02415196801305258,,,,,0.003576927922166017,0.0,0.0,,0.0,,,,0.0,,0.0,0.009371703713756585,0.0,0.023560400116333535,0.10602852254842707,0.0,0.011153899662123466,,,,,0.015511069986937258,0.017648991220419793,,0.004417819100358783,,,0.0,0.22603203064741523,0.011039404452102863,0.0011509842784727321,0.07606241650794926,0.0,,0.0032835563681107008,0.0,0.0,,,,0.00022385022385022375,,,,0.0,,,,0.0
1984,0.0,,,,,0.016648854471053152,0.03262670182711363,0.012865187295412629,,0.06147211507361187,,,0.0,0.0,0.0,,0.01068650800773938,,0.0,,0.0,,0.006717342526343767,0.00756336744453422,0.0007827143051324635,,,0.0,0.0,,0.0,0.009646662438807416,0.014092294096071096,0.02972528243958849,0.005464627165639254,0.04001053411531916,,0.06312730280376573,,0.0,0.03213966883929131,0.004680572831588213,,,0.010064918553945645,,0.0,,0.0,,0.011570102188667733,0.015458756399044659,,0.03431393910733846,0.021557010677394215,,,0.0076319180065673705,,0.004863229708298141,,0.0,,,0.0,0.0,,0.007867339782459976,,,,0.0,0.05867547320876082,0.0,0.02283084079270315,,0.026920700616651198,,0.0,0.06066051169020928,0.0,0.0,0.0,0.012042653516020758,0.0,0.0016719594876767148,,0.03456639349756431,,,,0.0004977739240369422,0.03440602095481855,0.052057932812426155,0.0,0.0,,0.018890631112003047,,,,0.0,0.0,0.0,0.0,0.010659953402411104,0.01591966612006607,,,,,0.025578331274968204,0.020313066949671575,0.0,,0.0,,,,0.005188773325355342,0.0,,0.017896101131319755,0.0,0.008974472239150055,0.015243070933463136,0.0,0.01163219793179104,0.0,,,,0.07005043630312453,0.0,,0.0031908548230494592,,0.0,0.0,0.23973671561752094,0.0073531488339312655,0.01079650199185355,0.06721828041940528,0.0,0.0,0.0012101378035946784,0.0462404785428693,0.012050239725188648,,,,0.0,,,,0.0,,0.0,,
